TeamHome,TeamAway,ResultTeamHome,ResultTeamAway,Bet1,BetX,Bet2
Chelsea,Huddersfield,5,0,1.22,6.51,14.25
Crystal Palace,Fulham,2,0,1.96,3.56,4.08
Everton,Wolves,1,3,2.66,3.24,2.84
Tottenham,Newcastle,1,0,1.42,4.52,8.70
Liverpool,Leicester,1,1,1.24,6.71,11.42
Tottenham,Watford,2,1,1.58,4.14,6.18
Bournemouth,Chelsea,4,0,5.61,4.29,1.60
Southampton,Crystal Palace,1,1,2.49,3.33,3.04
Manchester Utd,Burnley,2,2,1.32,5.36,10.30
Newcastle,Manchester City,2,1,16.83,8.17,1.16
Arsenal,Cardiff,2,1,1.21,6.91,13.83
Fulham,Brighton,4,2,2.46,3.24,3.22
Huddersfield,Everton,0,1,3.71,3.23,2.24
Wolves,West Ham,3,0,1.99,3.60,4.07
Fulham,Tottenham,1,2,5.41,3.72,1.70
Huddersfield,Manchester City,0,3,24.67,9.68,1.12
Arsenal,Chelsea,2,0,3.33,3.54,2.27
Bournemouth,West Ham,2,0,2.13,3.72,3.49
Liverpool,Crystal Palace,4,3,1.21,6.91,14.25
Manchester Utd,Brighton,2,1,1.35,5.20,9.22
Newcastle,Cardiff,3,0,2.05,3.22,4.17
Southampton,Everton,2,1,2.90,3.44,2.57
Watford,Burnley,0,0,1.68,3.93,5.37
Wolves,Leicester,4,3,2.32,3.20,3.45
Manchester City,Wolves,3,0,1.19,7.24,16.08
Tottenham,Manchester Utd,0,1,2.08,3.58,3.65
Everton,Bournemouth,2,0,1.71,3.99,4.98
Chelsea,Newcastle,2,1,1.20,6.80,17.67
Brighton,Liverpool,0,1,10.67,5.05,1.33
Burnley,Fulham,2,1,2.37,3.26,3.27
Cardiff,Huddersfield,0,0,2.14,3.22,3.85
Crystal Palace,Watford,1,2,2.29,3.36,3.32
Leicester,Southampton,1,2,1.91,3.36,4.63
West Ham,Arsenal,1,0,3.50,3.91,1.99
Manchester City,Liverpool,2,1,1.98,3.84,3.71
Newcastle,Manchester Utd,0,2,5.91,4.19,1.60
Bournemouth,Watford,3,3,2.57,3.52,2.79
Chelsea,Southampton,0,0,1.27,5.89,12.25
Huddersfield,Burnley,1,2,2.37,3.09,3.49
West Ham,Brighton,2,2,2.00,3.57,3.98
Wolves,Crystal Palace,0,2,2.30,3.17,3.55
Cardiff,Tottenham,0,3,8.70,4.96,1.39
Arsenal,Fulham,4,1,1.35,5.43,8.09
Everton,Leicester,0,1,2.02,3.50,3.95
Manchester Utd,Bournemouth,4,1,1.37,5.32,8.53
Burnley,West Ham,2,0,3.86,3.55,2.03
Southampton,Manchester City,1,3,12.17,6.87,1.24
Crystal Palace,Chelsea,0,1,4.89,3.84,1.76
Liverpool,Arsenal,5,1,1.39,5.36,7.66
Brighton,Everton,1,0,3.46,3.27,2.33
Fulham,Huddersfield,1,0,2.05,3.27,4.18
Leicester,Cardiff,0,1,1.56,3.93,7.36
Tottenham,Wolves,1,3,1.46,4.45,7.77
Watford,Newcastle,1,1,1.73,3.77,5.23
Southampton,West Ham,1,2,2.30,3.36,3.35
Watford,Chelsea,1,2,5.48,4.00,1.66
Brighton,Arsenal,1,1,5.31,3.90,1.70
Burnley,Everton,1,5,4.32,3.63,1.90
Crystal Palace,Cardiff,0,0,1.65,3.74,6.32
Leicester,Manchester City,2,1,9.71,5.65,1.32
Liverpool,Newcastle,4,0,1.16,8.09,20.33
Manchester Utd,Huddersfield,3,1,1.28,5.77,11.67
Tottenham,Bournemouth,5,0,1.35,5.43,8.97
Fulham,Wolves,1,1,3.06,3.17,2.57
Everton,Tottenham,2,6,3.43,3.65,2.14
Cardiff,Manchester Utd,1,5,6.56,4.20,1.55
Bournemouth,Brighton,2,0,1.99,3.47,4.15
Chelsea,Leicester,0,1,1.32,5.36,10.29
Huddersfield,Southampton,1,3,2.88,3.06,2.80
Manchester City,Crystal Palace,2,3,1.16,8.14,19.33
Newcastle,Fulham,0,0,2.24,3.32,3.52
West Ham,Watford,0,2,2.44,3.53,2.93
Arsenal,Burnley,3,1,1.21,6.93,15.17
Wolves,Liverpool,0,2,6.98,4.15,1.54
