TeamHome,TeamAway,ResultTeamHome,ResultTeamAway,Bet1,BetX,Bet2
Lokomotiv Moscow,Krasnodar,1,0,2.40,3.25,3.18
Ufa,Akhmat Grozny,0,1,2.56,2.85,3.30
Arsenal Tula,Yenisey,2,0,1.76,3.63,5.02
Rubin Kazan,FK Rostov,0,2,2.86,2.68,3.13
Ural,CSKA Moscow,0,1,4.98,3.33,1.84
Orenburg,Dynamo Moscow,1,0,3.00,2.74,2.91
FK Anzi Makhackala,FK Krylya Sovetov Samara,0,2,8.80,4.06,1.46
Krasnodar,Orenburg,2,2,1.53,3.98,7.21
Akhmat Grozny,Ural,1,1,2.05,3.09,4.31
FK Anzi Makhackala,Lokomotiv Moscow,0,2,8.98,4.48,1.40
Dynamo Moscow,Spartak Moscow,0,1,2.70,2.92,3.03
Zenit,Ufa,2,1,1.41,4.13,10.24
FK Rostov,Arsenal Tula,0,0,1.86,3.17,5.20
CSKA Moscow,Rubin Kazan,3,0,1.72,3.38,6.03
FK Krylya Sovetov Samara,Yenisey,4,0,2.13,3.03,4.13
Spartak Moscow,Krasnodar,1,1,2.80,3.24,2.63
Yenisey,FK Rostov,1,1,3.81,2.93,2.31
Ufa,Dynamo Moscow,1,2,2.86,2.83,2.98
Rubin Kazan,Akhmat Grozny,1,0,2.37,2.77,3.83
Lokomotiv Moscow,FK Krylya Sovetov Samara,2,2,1.66,3.65,5.93
Arsenal Tula,CSKA Moscow,2,0,5.42,3.63,1.70
Ural,Zenit,0,1,4.55,3.46,1.87
Orenburg,FK Anzi Makhackala,0,1,1.44,4.32,8.16
Akhmat Grozny,Arsenal Tula,2,0,2.35,3.06,3.44
Zenit,Rubin Kazan,1,2,1.57,3.65,7.26
Krasnodar,Ufa,1,1,1.52,3.99,7.51
Dynamo Moscow,Ural,4,0,2.12,3.08,4.09
FK Anzi Makhackala,Spartak Moscow,0,3,6.34,3.96,1.55
Lokomotiv Moscow,Orenburg,2,1,1.67,3.64,5.83
CSKA Moscow,Yenisey,2,1,1.39,4.23,9.84
FK Krylya Sovetov Samara,FK Rostov,1,0,3.50,2.84,2.45
Arsenal Tula,Zenit,4,2,4.51,3.31,1.87
Spartak Moscow,Lokomotiv Moscow,2,1,2.55,3.20,2.99
FK Rostov,CSKA Moscow,0,0,2.90,2.87,2.88
Krasnodar,Ural,2,0,1.45,4.54,7.26
FK Anzi Makhackala,Ufa,0,0,4.11,2.88,2.22
Yenisey,Akhmat Grozny,1,1,2.76,2.90,2.92
Rubin Kazan,Dynamo Moscow,1,1,2.33,2.83,3.86
Zenit,FK Rostov,2,0,1.76,3.47,5.42
Krasnodar,Arsenal Tula,3,0,1.44,4.70,7.23
Spartak Moscow,FK Krylya Sovetov Samara,3,1,1.54,3.94,6.79
FK Anzi Makhackala,Rubin Kazan,1,1,5.17,3.25,1.78
Orenburg,Ufa,1,0,2.46,2.81,3.46
Dynamo Moscow,Yenisey,1,2,1.73,3.43,5.41
Lokomotiv Moscow,Ural,1,2,1.58,3.69,6.90
Akhmat Grozny,CSKA Moscow,0,2,3.60,3.02,2.25
CSKA Moscow,Zenit,2,0,2.49,3.18,3.10
Rubin Kazan,Lokomotiv Moscow,0,0,2.90,2.89,2.86
Krasnodar,Yenisey,3,0,1.37,4.90,8.91
Ufa,Spartak Moscow,2,0,3.06,3.11,2.54
FK Rostov,Dynamo Moscow,0,0,2.02,3.06,4.53
FK Krylya Sovetov Samara,Akhmat Grozny,1,2,2.52,2.98,3.27
Ural,Orenburg,2,1,2.39,3.02,3.47
Arsenal Tula,FK Anzi Makhackala,2,0,1.49,4.09,7.53
FK Anzi Makhackala,Yenisey,2,1,3.18,3.06,2.50
Ufa,FK Krylya Sovetov Samara,1,2,2.22,2.99,3.88
Orenburg,Rubin Kazan,1,0,3.18,2.83,2.68
Spartak Moscow,Ural,1,2,1.57,4.00,6.22
Krasnodar,FK Rostov,2,2,1.85,3.39,4.88
Zenit,Akhmat Grozny,1,0,1.52,4.15,6.93
Dynamo Moscow,CSKA Moscow,0,0,3.28,3.05,2.48
Lokomotiv Moscow,Arsenal Tula,3,1,1.72,3.49,5.73
Rubin Kazan,Spartak Moscow,1,1,2.63,2.99,3.01
FK Krylya Sovetov Samara,Zenit,0,1,6.31,3.67,1.59
CSKA Moscow,Krasnodar,1,2,2.17,3.35,3.59
Akhmat Grozny,Dynamo Moscow,0,0,2.46,2.95,3.31
Yenisey,Lokomotiv Moscow,0,3,4.21,3.04,2.09
FK Rostov,FK Anzi Makhackala,1,0,1.38,4.33,10.63
Arsenal Tula,Orenburg,2,2,2.13,3.06,3.97
Ural,Ufa,1,1,2.34,2.94,3.58
Krasnodar,Akhmat Grozny,0,1,1.56,4.12,6.56
Spartak Moscow,Arsenal Tula,2,3,1.57,3.99,6.66
Dynamo Moscow,Zenit,1,0,3.89,3.16,2.04
Ufa,Rubin Kazan,0,0,2.85,2.80,3.03
Ural,FK Krylya Sovetov Samara,1,1,2.25,2.99,3.85
Orenburg,Yenisey,0,0,1.99,3.07,4.54
Lokomotiv Moscow,FK Rostov,2,1,2.16,2.95,4.22
FK Anzi Makhackala,CSKA Moscow,0,2,8.94,4.05,1.47
CSKA Moscow,Lokomotiv Moscow,0,1,2.13,3.24,3.90
Zenit,Krasnodar,2,1,1.98,3.45,4.13
